order_id,predict_roomid,probability
ORDER_13098828,ROOM_192690913,0.108333
ORDER_13098828,ROOM_19269243,0.108333
ORDER_13098828,ROOM_19268933,0.108333
ORDER_13098828,ROOM_19269665,0.108333
ORDER_13098828,ROOM_19269249,0.108333
ORDER_13098828,ROOM_19268723,0.582328
ORDER_13098828,ROOM_19269247,0.108333
ORDER_13098828,ROOM_192683023,0.116554
ORDER_13098828,ROOM_192691017,0.108333
ORDER_13098828,ROOM_192695813,0.108333
ORDER_13098828,ROOM_192696611,0.108333
ORDER_13098828,ROOM_192692413,0.108333
ORDER_13098828,ROOM_192689311,0.108333
ORDER_13098828,ROOM_192695811,0.108333
ORDER_13098828,ROOM_192692211,0.108333
ORDER_13098828,ROOM_192686811,0.116554
ORDER_13098828,ROOM_19269585,0.108333
ORDER_13098828,ROOM_192689315,0.108333
ORDER_13098828,ROOM_19268929,0.108333
ORDER_13098828,ROOM_192686931,0.116554
ORDER_13098828,ROOM_192695817,0.108333
ORDER_13098828,ROOM_19269215,0.108333
ORDER_13098828,ROOM_192684325,0.116554
ORDER_13028392,ROOM_217257711,0.108333
ORDER_13028392,ROOM_21725845,0.153539
ORDER_13028392,ROOM_21725795,0.108333
ORDER_13028392,ROOM_21725777,0.108333
ORDER_13028392,ROOM_217257011,0.108333
ORDER_13028392,ROOM_217257713,0.108333
ORDER_13028392,ROOM_21725709,0.108333
ORDER_13028392,ROOM_21725853,0.153539
ORDER_13028392,ROOM_217257013,0.108333
ORDER_13028392,ROOM_21725779,0.108333
ORDER_13028392,ROOM_21725829,0.143788
ORDER_13028392,ROOM_21725595,0.108333
ORDER_13028392,ROOM_21725533,0.108333
ORDER_13028392,ROOM_21725707,0.108333
ORDER_13028392,ROOM_217258315,0.168732
ORDER_13028392,ROOM_217255611,0.108333
ORDER_13028392,ROOM_217255613,0.108333
ORDER_13028392,ROOM_217258311,0.168732
ORDER_13028392,ROOM_21725645,0.108333
ORDER_13028392,ROOM_21725587,0.108333
ORDER_13028392,ROOM_217255811,0.108333
ORDER_13028392,ROOM_21725583,0.108333
ORDER_13028392,ROOM_21725589,0.108333
ORDER_13028392,ROOM_217258313,0.168732
ORDER_13028392,ROOM_21725837,0.432666
ORDER_13028392,ROOM_21725547,0.108333
ORDER_13028392,ROOM_21725753,0.108333
ORDER_13028392,ROOM_21725569,0.108333
ORDER_13028392,ROOM_21725565,0.108333
ORDER_13149515,ROOM_20736533,0.128734
ORDER_13149515,ROOM_20737003,0.24964
ORDER_13028754,ROOM_31291095,0.108333
ORDER_13028754,ROOM_31291087,0.108333
ORDER_13028754,ROOM_31291767,0.108333
ORDER_13028754,ROOM_31291769,0.108333
ORDER_13028754,ROOM_31291765,0.108333
ORDER_13028754,ROOM_31291375,0.108333
ORDER_13028754,ROOM_312911011,0.108333
ORDER_13028754,ROOM_31291109,0.108333
ORDER_13028754,ROOM_31291103,0.108333
ORDER_13028754,ROOM_312911015,0.108333
ORDER_13028754,ROOM_31291763,0.108333
ORDER_13028754,ROOM_31291895,0.108333
ORDER_13028754,ROOM_31291265,0.108333
ORDER_13028754,ROOM_31291963,0.256789
