orderid	uid	orderdate	hotelid	basicroomid	roomid	orderlabel	star	rank	returnvalue	price_deduct	basic_minarea	basic_maxarea	roomservice_1	roomservice_2	roomservice_3	roomservice_4	roomservice_5	roomservice_6	roomservice_7	roomservice_8	roomtag_1	roomtag_2	roomtag_3	roomtag_4	roomtag_5	roomtag_6	user_confirmtime	user_avgadvanceddate	user_avgstar	user_avggoldstar	user_avgrecommendlevel	user_avgroomnum	ordertype_1_ratio	ordertype_2_ratio	ordertype_3_ratio	ordertype_4_ratio	ordertype_5_ratio	ordertype_6_ratio	ordertype_7_ratio	ordertype_8_ratio	ordertype_9_ratio	ordertype_10_ratio	ordertype_11_ratio	user_avgdealpriceholiday	user_avgdealpriceworkday	user_avgdealprice	user_avgpromotion	user_avgprice_star	orderbehavior_1_ratio	orderbehavior_2_ratio	orderbehavior_3_ratio_1week	orderbehavior_4_ratio_1week	orderbehavior_5_ratio_1week	orderbehavior_3_ratio_1month	orderbehavior_4_ratio_1month	orderbehavior_5_ratio_1month	orderbehavior_3_ratio_3month	orderbehavior_4_ratio_3month	orderbehavior_5_ratio_3month	orderbehavior_6_ratio	orderbehavior_7_ratio	orderbehavior_8	orderbehavior_9	user_ordernum	user_activation	user_avgprice	user_maxprice	user_minprice	user_stdprice	user_cvprice	user_citynum	user_avgroomarea	user_roomservice_4_0ratio	user_roomservice_4_2ratio	user_roomservice_4_3ratio	user_roomservice_4_4ratio	user_roomservice_4_1ratio	user_roomservice_4_5ratio	user_roomservice_3_123ratio	user_roomservice_6_2ratio	user_roomservice_6_1ratio	user_roomservice_6_0ratio	user_roomservice_5_1ratio	user_roomservice_7_0ratio	user_roomservice_2_1ratio	user_roomservice_8_1ratio	user_rank_ratio	user_roomservice_5_345ratio	user_ordnum_1week	user_avgprice_1week	user_medprice_1week	user_minprice_1week	user_maxprice_1week	user_roomservice_3_123ratio_1week	user_roomservice_7_1ratio_1week	user_roomservice_7_0ratio_1week	user_roomservice_4_5ratio_1week	user_roomservice_4_4ratio_1week	user_roomservice_4_2ratio_1week	user_roomservice_4_3ratio_1week	user_roomservice_4_0ratio_1week	user_ordnum_1month	user_avgprice_1month	user_medprice_1month	user_minprice_1month	user_maxprice_1month	user_roomservice_3_123ratio_1month	user_roomservice_7_1ratio_1month	user_roomservice_7_0ratio_1month	user_roomservice_4_5ratio_1month	user_roomservice_4_4ratio_1month	user_roomservice_4_2ratio_1month	user_roomservice_4_3ratio_1month	user_roomservice_4_0ratio_1month	user_ordnum_3month	user_avgprice_3month	user_medprice_3month	user_minprice_3month	user_maxprice_3month	user_roomservice_3_123ratio_3month	user_roomservice_7_1ratio_3month	user_roomservice_7_0ratio_3month	user_roomservice_4_5ratio_3month	user_roomservice_4_4ratio_3month	user_roomservice_4_2ratio_3month	user_roomservice_4_3ratio_3month	user_roomservice_4_0ratio_3month	basic_week_ordernum_ratio	basic_recent3_ordernum_ratio	basic_comment_ratio	basic_30days_ordnumratio	basic_30days_realratio	room_30days_ordnumratio	room_30days_realratio	orderid_lastord	orderdate_lastord	hotelid_lastord	roomid_lastord	basicroomid_lastord	rank_lastord	return_lastord	price_last_lastord	roomservice_2_lastord	roomservice_3_lastord	roomservice_4_lastord	roomservice_5_lastord	roomservice_6_lastord	roomservice_8_lastord	roomtag_2_lastord	roomtag_3_lastord	roomtag_4_lastord	roomtag_5_lastord	roomtag_6_lastord	star_lastord	hotel_minprice_lastord	basic_minprice_lastord
ORDER_12251191	USER_318560	2013-04-15	HOTEL_174550	BASIC_635351	ROOM_27728713	0	9	3	200.0	3830.0	NULL	NULL	NULL	0	0	2	0	0	0	1	0	NULL	490.0	0	0	0	-991.82355	1.4705882	7.2352943	6.647059	11.705882	302.0	0.25	0.05882353	0.0	0.0	0.0	0.29411766	0.7058824	0.9411765	0.3529412	0.29411766	0.0	1657.3999	932.8	1113.95	237.35	1188.9412	0.0	0.23529412	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.23076923	0.30769232	34.88	68.36923	334	4.475698	1113.95	2750.0	440.0	NULL	NULL	212.0	1.0	NULL	0.8235294	0.23529412	0.8235294	NULL	NULL	0.29411766	NULL	NULL	NULL	0.3529412	0.4117647	NULL	1.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23623	ROOM_9822111	0	5	11	200.0	842.0	41.0	41.0	2	0	0	5	0	0	0	2	0	310.0	NULL	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.36666667	0.4	0.16838488	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23626	ROOM_982435	0	5	5	200.0	995.0	71.0	71.0	2	0	0	2	0	2	1	2	0	310.0	466.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.0	0.008591065	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23626	ROOM_982423	0	5	3	200.0	995.0	71.0	71.0	2	0	0	2	0	2	1	2	0	310.0	496.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.0	0.008591065	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23623	ROOM_982105	0	5	5	200.0	677.0	41.0	41.0	2	0	0	5	0	0	0	1	0	NULL	496.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.36666667	0.4	0.16838488	0.3272727	1.0	0.27272728	1.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23625	ROOM_982359	0	5	9	200.0	821.0	51.0	51.0	2	0	0	3	0	0	0	1	0	NULL	496.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.06666667	0.0	0.11512028	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23624	ROOM_982335	0	5	5	200.0	824.0	45.0	45.0	2	0	0	5	0	2	1	1	0	NULL	496.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.033333335	0.0	0.104811	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23624	ROOM_982319	0	5	9	200.0	908.0	45.0	45.0	2	0	0	5	0	0	0	2	0	310.0	NULL	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.033333335	0.0	0.104811	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23621	ROOM_981975	0	5	5	200.0	824.0	37.0	37.0	2	0	0	2	0	0	0	2	0	310.0	466.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.033333335	0.0	0.20618556	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ORDER_12194265	USER_516846	2013-04-14	HOTEL_7026	BASIC_23623	ROOM_982247	1	5	7	200.0	767.0	41.0	41.0	2	0	0	5	0	2	1	1	0	NULL	496.0	0	0	0	-2.0	2.0	9.0	9.0	15.0	302.0	0.0	NULL	NULL	NULL	NULL	0.0	1.0	1.0	0.5	1.0	0.0	NULL	1325.0	1325.0	263.0	1325.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0.5	66.72	76.0	304	1.4089056	1325.0	1343.0	1307.0	NULL	NULL	202.0	1.0	NULL	1.0	0.0	1.0	NULL	NULL	0.0	NULL	NULL	NULL	0.5	0.0	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.36666667	0.4	0.16838488	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
